time,ax,ay,az,aT
2.248000,0.0041,-0.0060,-0.0064,0.010
2.248000,-0.0007,0.0058,0.0008,0.006
2.248000,0.0064,-0.0038,0.0008,0.008
2.249000,0.0064,-0.0086,-0.0016,0.011
2.253000,0.0016,0.0057,0.0031,0.007
2.261000,0.0039,0.0127,0.0031,0.014
2.262000,0.0038,0.0125,0.0031,0.013
2.264000,0.0062,0.0148,0.0007,0.016
2.278000,0.0014,0.0242,0.0007,0.024
2.278000,0.0014,0.0288,-0.0041,0.029
2.279000,-0.0010,0.0143,-0.0040,0.015
2.284000,-0.0011,0.0118,0.0055,0.013
2.294000,0.0108,0.0118,0.0031,0.016
2.295000,0.0083,-0.0001,0.0030,0.009
2.299000,0.0058,-0.0191,0.0078,0.021
2.315000,0.0011,-0.0332,-0.0018,0.033
2.316000,0.0010,-0.0376,-0.0041,0.038
2.316000,0.0010,-0.0278,-0.0065,0.029
2.340000,-0.0062,-0.0181,-0.0088,0.021
2.342000,-0.0085,-0.0085,-0.0064,0.014
2.342000,-0.0037,0.0057,-0.0039,0.008
2.342000,-0.0013,0.0151,0.0032,0.016
2.343000,-0.0013,0.0221,0.0008,0.022
2.343000,0.0058,0.0266,-0.0039,0.027
2.348000,0.0034,0.0216,-0.0015,0.022
2.361000,-0.0038,0.0071,0.0080,0.011
2.362000,-0.0062,-0.0049,0.0151,0.017
2.363000,-0.0062,-0.0097,0.0126,0.017
2.367000,0.0057,-0.0216,0.0077,0.024
2.379000,0.0057,-0.0286,-0.0042,0.029
2.380000,0.0032,-0.0331,0.0006,0.033
2.383000,0.0055,-0.0448,0.0077,0.046
2.398000,0.0006,-0.0469,0.0029,0.047
2.400000,-0.0041,-0.0371,-0.0043,0.038
2.400000,0.0006,-0.0202,-0.0042,0.021
2.413000,0.0007,-0.0129,-0.0018,0.013
2.414000,0.0078,-0.0128,0.0029,0.015
2.415000,0.0054,-0.0032,0.0053,0.008
2.417000,-0.0017,0.0110,0.0029,0.012
2.443000,0.0007,0.0204,-0.0067,0.022
2.444000,0.0080,0.0178,-0.0090,0.022
2.445000,0.0080,0.0201,-0.0018,0.022
2.445000,0.0055,0.0128,-0.0041,0.015
2.445000,0.0055,0.0031,-0.0065,0.009
2.447000,0.0030,0.0126,-0.0017,0.013
2.455000,-0.0017,0.0078,0.0078,0.011
2.457000,-0.0087,0.0030,0.0054,0.011
2.461000,-0.0086,0.0124,0.0030,0.015
2.466000,0.0010,0.0241,0.0053,0.025
2.471000,0.0033,0.0333,0.0029,0.034
2.476000,0.0009,0.0377,0.0005,0.038
2.481000,0.0009,0.0398,-0.0042,0.040
2.487000,-0.0110,0.0393,-0.0089,0.042
2.492000,-0.0085,0.0223,-0.0017,0.024
2.496000,0.0011,0.0055,0.0030,0.006
2.501000,-0.0036,0.0031,0.0006,0.005
2.510000,-0.0083,-0.0041,0.0006,0.009
2.511000,-0.0035,-0.0159,-0.0018,0.016
2.516000,0.0060,-0.0253,-0.0017,0.026
2.529000,0.0107,-0.0298,0.0054,0.032
2.530000,0.0106,-0.0461,0.0053,0.048
2.530000,0.0057,-0.0552,0.0053,0.056
2.536000,0.0034,-0.0571,0.0100,0.058
2.540000,0.0104,-0.0472,0.0075,0.049
2.545000,0.0055,-0.0207,0.0027,0.022
2.550000,0.0006,-0.0015,-0.0020,0.003
2.556000,0.0054,0.0080,-0.0044,0.011
2.560000,0.0030,0.0080,0.0004,0.009
2.565000,-0.0018,0.0150,-0.0020,0.015
2.570000,-0.0018,0.0244,-0.0043,0.025
