time,ax,ay,az,aT
2.462000,0.0020,0.0105,-0.0048,0.012
2.468000,-0.0099,0.0058,0.0000,0.011
2.472000,-0.0098,-0.0012,0.0048,0.011
2.477000,-0.0050,-0.0059,-0.0071,0.010
2.483000,-0.0002,-0.0058,-0.0071,0.009
2.487000,0.0021,-0.0057,0.0001,0.006
2.492000,-0.0002,-0.0032,0.0001,0.003
2.497000,0.0021,0.0041,-0.0023,0.005
2.502000,-0.0073,0.0041,-0.0141,0.016
2.507000,-0.0049,-0.0054,-0.0045,0.009
2.517000,0.0118,-0.0172,0.0026,0.021
2.518000,0.0070,-0.0218,-0.0021,0.023
2.523000,-0.0002,-0.0098,-0.0021,0.010
2.559000,-0.0049,0.0069,-0.0045,0.010
2.561000,-0.0001,0.0115,-0.0021,0.012
2.561000,0.0070,0.0090,0.0027,0.012
2.561000,0.0022,0.0066,0.0051,0.009
2.561000,-0.0025,0.0041,0.0026,0.005
2.562000,-0.0001,-0.0103,0.0003,0.010
2.562000,0.0047,-0.0175,0.0003,0.018
2.562000,0.0023,-0.0103,0.0050,0.012
2.565000,-0.0001,-0.0056,0.0073,0.009
2.570000,-0.0025,0.0110,0.0049,0.012
2.577000,-0.0072,0.0180,0.0001,0.019
2.581000,-0.0119,0.0035,-0.0023,0.013
2.585000,-0.0118,0.0058,0.0001,0.013
2.590000,-0.0093,0.0129,0.0025,0.016
2.595000,-0.0044,0.0105,0.0025,0.012
2.600000,-0.0020,0.0034,0.0072,0.008
2.605000,-0.0043,-0.0037,0.0072,0.009
2.614000,0.0051,-0.0013,0.0071,0.009
2.615000,0.0146,-0.0083,0.0070,0.018
2.620000,0.0073,-0.0010,0.0022,0.008
2.625000,0.0025,0.0086,0.0022,0.009
2.646000,0.0049,0.0063,-0.0073,0.011
2.647000,-0.0046,0.0016,-0.0073,0.009
2.648000,-0.0117,-0.0102,-0.0072,0.017
2.648000,-0.0044,-0.0196,-0.0190,0.028
2.649000,0.0028,-0.0170,-0.0236,0.029
2.654000,0.0075,-0.0097,-0.0139,0.019
2.659000,-0.0021,-0.0002,0.0028,0.003
2.664000,-0.0020,0.0164,-0.0020,0.017
2.668000,0.0099,0.0233,-0.0067,0.026
2.674000,0.0098,0.0088,0.0029,0.013
2.679000,0.0027,-0.0033,0.0029,0.005
